Nom gare;Code Gare;Type jour;Date de comptage;Ligne;Tranche horaire;Montants
MANTES STATION;87381590;Samedi;2016-11-19;J;De 10h à 16h;370
VAL D'ARGENTEUIL;87381798;JOB;2016-11-22;J;De 10h à 16h;2580
VAL D'ARGENTEUIL;87381798;JOB;2016-11-22;J;De 6h à 10h;3961
VAL D'ARGENTEUIL;87381798;Samedi;2016-11-19;J;Avant 6h;102
TRIEL SUR SEINE;87381806;JOB;2016-11-22;J;De 6h à 10h;626
VAUX SUR SEINE;87381814;JOB;2016-11-24;J;De 6h à 10h;46
VAUX SUR SEINE;87381814;Samedi;2016-11-19;J;Après 20h;15
VAUX SUR SEINE;87381814;Samedi;2016-11-19;J;De 6h à 10h;59
THUN LE PARADIS;87381822;Dimanche;2016-11-20;J;Après 20h;13
THUN LE PARADIS;87381822;Dimanche;2016-11-20;J;De 10h à 16h;109
THUN LE PARADIS;87381822;JOB;2016-11-22;J;De 10h à 16h;107
THUN LE PARADIS;87381822;Samedi;2016-11-19;J;Avant 6h;1
MEULAN HARDRICOURT;87381830;Dimanche;2016-11-20;J;Après 20h;24
MEULAN HARDRICOURT;87381830;Dimanche;2016-11-20;J;De 16h à 20h;104
MEULAN HARDRICOURT;87381830;JOB;2016-11-22;J;De 16h à 20h;173
MEULAN HARDRICOURT;87381830;JOB;2016-11-24;J;De 6h à 10h;34
MEULAN HARDRICOURT;87381830;Samedi;2016-11-19;J;Après 20h;18
ARGENTEUIL;87381848;JOB;2016-11-24;J;De 6h à 10h;340
ARGENTEUIL;87381848;Samedi;2016-11-19;J;De 10h à 16h;6302
ARGENTEUIL;87381848;Samedi;2016-11-19;J;De 16h à 20h;3917
CORMEILLES EN PARISIS;87381863;Samedi;2016-11-19;J;Après 20h;275
LA FRETTE MONTIGNY;87381871;JOB;2016-11-22;J;Avant 6h;16
LA FRETTE MONTIGNY;87381871;Samedi;2016-11-19;J;Après 20h;66
LA FRETTE MONTIGNY;87381871;Samedi;2016-11-19;J;De 6h à 10h;174
HERBLAY;87381889;JOB;2016-11-22;J;Après 20h;126
HERBLAY;87381889;JOB;2016-11-22;J;De 10h à 16h;1024
HERBLAY;87381889;JOB;2016-11-22;J;De 16h à 20h;738
HERBLAY;87381889;JOB;2016-11-22;J;De 6h à 10h;3991
CONFLANS SAINTE-HONORINE;87381897;Dimanche;2016-11-20;J;Après 20h;230
CONFLANS SAINTE-HONORINE;87381897;Dimanche;2016-11-20;J;De 16h à 20h;747
CONFLANS SAINTE-HONORINE;87381897;JOB;2016-11-22;J;De 10h à 16h;1457
CONFLANS SAINTE-HONORINE;87381897;Samedi;2016-11-19;J;Avant 6h;57
PARIS SAINT-LAZARE;87384008;Dimanche;2016-11-20;J;Avant 6h;133
PARIS SAINT-LAZARE;87384008;Dimanche;2016-11-20;J;De 10h à 16h;11083
PARIS SAINT-LAZARE;87384008;Dimanche;2016-11-20;J;De 6h à 10h;2632
PARIS SAINT-LAZARE;87384008;JOB;2016-11-22;J;De 6h à 10h;10404
PARIS SAINT-LAZARE;87384008;JOB;2016-11-24;J;De 6h à 10h;0
HOUILLES CARRIERES SUR SEINE;87386409;Dimanche;2016-11-20;J;De 16h à 20h;572
POISSY;87386573;JOB;2016-11-22;J;De 10h à 16h;1823
POISSY;87386573;JOB;2016-11-22;J;De 16h à 20h;2961
POISSY;87386573;JOB;2016-11-22;J;De 6h à 10h;4420
POISSY;87386573;Samedi;2016-11-19;J;Après 20h;546
POISSY;87386573;Samedi;2016-11-19;J;Avant 6h;58
VILLENNES SUR SEINE;87386649;Dimanche;2016-11-20;J;De 10h à 16h;182
VILLENNES SUR SEINE;87386649;Dimanche;2016-11-20;J;De 16h à 20h;167
VILLENNES SUR SEINE;87386649;JOB;2016-11-22;J;De 6h à 10h;779
VILLENNES SUR SEINE;87386649;Samedi;2016-11-19;J;Avant 6h;3
VILLENNES SUR SEINE;87386649;Samedi;2016-11-19;J;De 10h à 16h;266
VILLENNES SUR SEINE;87386649;Samedi;2016-11-19;J;De 6h à 10h;140
VERNOUILLET VERNEUIL;87386656;Samedi;2016-11-19;J;De 16h à 20h;729
LES CLAIRIERES DE VERNEUIL;87386664;JOB;2016-11-22;J;Avant 6h;14
LES CLAIRIERES DE VERNEUIL;87386664;Samedi;2016-11-19;J;Après 20h;16
LES CLAIRIERES DE VERNEUIL;87386664;Samedi;2016-11-19;J;De 10h à 16h;148
LES MUREAUX;87386680;Dimanche;2016-11-20;J;Après 20h;201
LES MUREAUX;87386680;JOB;2016-11-22;J;Après 20h;137
LES MUREAUX;87386680;Samedi;2016-11-19;J;Après 20h;158
LES MUREAUX;87386680;Samedi;2016-11-19;J;De 16h à 20h;865
AUBERGENVILLE ELISABETHVILLE;87386730;JOB;2016-11-22;J;Après 20h;64
AUBERGENVILLE ELISABETHVILLE;87386730;JOB;2016-11-22;J;De 16h à 20h;885
AUBERGENVILLE ELISABETHVILLE;87386730;Samedi;2016-11-19;J;Après 20h;60
AUBERGENVILLE ELISABETHVILLE;87386730;Samedi;2016-11-19;J;Avant 6h;87
EPONE MEZIERES;87386763;Dimanche;2016-11-20;J;De 10h à 16h;200
EPONE MEZIERES;87386763;JOB;2016-11-22;J;Avant 6h;78
EPONE MEZIERES;87386763;Samedi;2016-11-19;J;De 16h à 20h;250
ROSNY SUR SEINE;87415885;JOB;2016-11-22;J;De 6h à 10h;122
Paris Nord;87271007;Dimanche;2014-03-30;K;De 10h à 16h;70
Paris Nord;87271007;JOB;2014-03-27;K;Avant 6h;0
Aulnay sous Bois;87271411;Dimanche;2014-03-30;K;De 10h à 16h;19
Aulnay sous Bois;87271411;Dimanche;2014-03-30;K;De 16h à 20h;28
Aulnay sous Bois;87271411;JOB;2014-03-27;K;Après 20h;16
Mitry Claye;87271528;Dimanche;2014-03-30;K;De 16h à 20h;32
Mitry Claye;87271528;JOB;2014-03-27;K;Avant 6h;29
Dammartin Juilly Saint-Mard;87271536;Dimanche;2014-03-30;K;De 6h à 10h;6
Dammartin Juilly Saint-Mard;87271536;JOB;2014-03-27;K;De 16h à 20h;56
Dammartin Juilly Saint-Mard;87271536;Samedi;2014-03-29;K;De 10h à 16h;35
Le Plessis-Belleville;87271551;JOB;2014-03-27;K;Avant 6h;34
Le Plessis-Belleville;87271551;JOB;2014-03-27;K;De 16h à 20h;80
Le Plessis-Belleville;87271551;Samedi;2014-03-29;K;De 6h à 10h;39
Nanteuil-le-Haudouin;87271577;Dimanche;2014-03-30;K;Après 20h;11
Nanteuil-le-Haudouin;87271577;Dimanche;2014-03-30;K;De 16h à 20h;11
Nanteuil-le-Haudouin;87271577;Samedi;2014-03-29;K;De 10h à 16h;15
Nanteuil-le-Haudouin;87271577;Samedi;2014-03-29;K;De 6h à 10h;28
Ormoy-Villers;87271585;Dimanche;2014-03-30;K;De 6h à 10h;0
Ormoy-Villers;87271585;JOB;2014-03-27;K;De 6h à 10h;38
Ormoy-Villers;87271585;Samedi;2014-03-29;K;Après 20h;1
Ormoy-Villers;87271585;Samedi;2014-03-29;K;Avant 6h;0
Crépy-en-Valois;87271593;Dimanche;2014-03-30;K;Après 20h;41
Crépy-en-Valois;87271593;Dimanche;2014-03-30;K;De 10h à 16h;31
Crépy-en-Valois;87271593;JOB;2014-03-27;K;Avant 6h;55
Crépy-en-Valois;87271593;Samedi;2014-03-29;K;Après 20h;23
Crépy-en-Valois;87271593;Samedi;2014-03-29;K;De 10h à 16h;83
Crépy-en-Valois;87271593;Samedi;2014-03-29;K;De 16h à 20h;0
Compans;87272047;Dimanche;2014-03-30;K;De 6h à 10h;1
Compans;87272047;Samedi;2014-03-29;K;Après 20h;0
Compans;87272047;Samedi;2014-03-29;K;De 16h à 20h;0
Thieux Nantouillet;87272054;Dimanche;2014-03-30;K;De 10h à 16h;5
Thieux Nantouillet;87272054;Samedi;2014-03-29;K;De 6h à 10h;14
Neuville Université;87334482;JOB;2014-05-20;L;De 16h à 20h;250
Saint-Germain en Laye Bel Air Fourqueux;87366922;JOB;2012-11-22;L;Après 20h;9
Saint-Germain en Laye Bel Air Fourqueux;87366922;JOB;2012-11-22;L;De 16h à 20h;222
Neuville Université;87334482;Dimanche;2014-05-18;A;De 10h à 16h;456
Neuville Université;87334482;JOB;2014-05-20;A;Avant 6h;42
Neuville Université;87334482;JOB;2014-05-20;A;De 16h à 20h;619
Conflans fin d'Oise;87381459;Dimanche;2014-05-18;A;Après 20h;257
Conflans fin d'Oise;87381459;Dimanche;2014-05-18;A;Avant 6h;36
Conflans fin d'Oise;87381459;JOB;2014-05-20;A;De 16h à 20h;980
Conflans fin d'Oise;87381459;Samedi;2014-05-17;A;De 6h à 10h;606
Achères Ville;87381657;Dimanche;2014-05-18;A;Après 20h;156
Achères Ville;87381657;JOB;2014-05-20;A;De 10h à 16h;911
Achères Ville;87381657;JOB;2014-05-20;A;De 6h à 10h;1990
Achères Ville;87381657;Samedi;2014-05-17;A;Après 20h;262
Achères Ville;87381657;Samedi;2014-05-17;A;De 16h à 20h;771
Cergy Préfecture;87381905;Dimanche;2014-05-18;A;De 6h à 10h;830
Cergy Préfecture;87381905;JOB;2014-05-20;A;Après 20h;1181
Cergy Préfecture;87381905;Samedi;2014-05-17;A;Après 20h;1405
Cergy Saint-Christophe;87382499;Dimanche;2014-05-18;A;Après 20h;543
Cergy Saint-Christophe;87382499;Samedi;2014-05-17;A;De 16h à 20h;1728
Cergy le Haut;87382655;Dimanche;2014-05-18;A;De 6h à 10h;554
Cergy le Haut;87382655;JOB;2014-05-20;A;De 16h à 20h;1062
Cergy le Haut;87382655;JOB;2014-05-20;A;De 6h à 10h;5396
Cergy le Haut;87382655;Samedi;2014-05-17;A;Après 20h;579
Cergy le Haut;87382655;Samedi;2014-05-17;A;De 16h à 20h;1596
Achères Grand Cormier;87386052;Dimanche;2014-05-18;A;Après 20h;34
Achères Grand Cormier;87386052;Dimanche;2014-05-18;A;Avant 6h;3
Achères Grand Cormier;87386052;JOB;2014-05-20;A;Avant 6h;14
Achères Grand Cormier;87386052;Samedi;2014-05-17;A;De 10h à 16h;95
Houilles Carrières sur Seine;87386409;JOB;2014-05-20;A;De 16h à 20h;2394
Houilles Carrières sur Seine;87386409;JOB;2014-05-20;A;De 6h à 10h;7447
Houilles Carrières sur Seine;87386409;Samedi;2014-05-17;A;De 6h à 10h;1362
Sartrouville;87386417;Dimanche;2014-05-18;A;De 16h à 20h;1439
Sartrouville;87386417;JOB;2014-05-20;A;Avant 6h;184
Sartrouville;87386417;Samedi;2014-05-17;A;Après 20h;1255
Maisons Laffitte;87386425;Dimanche;2014-05-18;A;Après 20h;547
Maisons Laffitte;87386425;JOB;2014-05-20;A;Après 20h;505
Maisons Laffitte;87386425;JOB;2014-05-20;A;De 16h à 20h;1549
Maisons Laffitte;87386425;Samedi;2014-05-17;A;Avant 6h;61
Poissy;87386573;Samedi;2014-05-17;A;Après 20h;526
Poissy;87386573;Samedi;2014-05-17;A;De 16h à 20h;1133
Poissy;87386573;Samedi;2014-05-17;A;De 6h à 10h;811
Aéroport Charles de Gaulle 2 TGV;87001479;JOB;2014-03-27;B;De 16h à 20h;3322
Aéroport Charles de Gaulle 2 TGV;87001479;Samedi;2014-03-29;B;Après 20h;1554
Aéroport Charles de Gaulle 2 TGV;87001479;Samedi;2014-03-29;B;De 10h à 16h;5292
La Plaine-Stade de France;87164798;JOB;2014-03-27;B;Après 20h;1604
La Plaine-Stade de France;87164798;Samedi;2014-03-29;B;De 6h à 10h;2047
Paris Nord;87271007;Dimanche;2014-03-30;B;De 6h à 10h;10454
La Courneuve Aubervilliers;87271304;Dimanche;2014-03-30;B;Avant 6h;243
