service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10283,1,1,1,1,1,1,0,20170904,20171104
10287,1,1,1,1,1,1,0,20170828,20171104
10284,1,1,1,1,1,1,0,20170828,20171104
10285,0,0,0,0,0,1,0,20170828,20171104
10286,0,0,0,0,0,0,1,20170828,20171105
10288,1,1,1,1,1,1,0,20170828,20171104
10277,0,0,0,0,0,0,1,20170508,20170702
10275,0,0,0,0,0,0,1,20170828,20171105
10276,0,0,0,0,0,0,1,20170828,20171105
10281,0,0,0,0,0,0,1,20170828,20171105
10282,0,0,0,0,0,0,1,20170828,20171105
10279,1,0,0,0,0,0,0,20170904,20171030
10280,1,0,0,0,0,0,0,20170904,20171030
10278,0,0,0,0,0,0,1,20170828,20171105
10292,0,0,0,0,0,0,1,20170828,20171105
10293,0,0,0,0,0,0,1,20170828,20171105
10294,0,0,0,0,0,0,1,20170828,20171105
10289,0,0,0,0,0,1,0,20170828,20171104
10290,1,1,1,1,1,1,0,20170904,20171104
10291,1,1,1,1,1,1,0,20170904,20171104
11078,1,1,1,1,1,0,0,20170502,20170716
11062,1,1,1,1,1,0,0,20170731,20170825
11158,0,0,0,0,0,1,1,20170501,20170723
11160,1,1,1,1,1,1,1,20170501,20170716
11154,0,0,0,0,0,1,1,20170904,20171105
11159,0,0,0,0,0,1,1,20170828,20171105
10939,0,0,0,0,0,0,1,20170716,20170723
11163,0,0,0,0,0,1,1,20170904,20171105
11162,0,0,0,0,0,1,1,20170501,20170723
11064,0,0,0,0,0,1,1,20170729,20170827
10963,1,1,1,1,1,1,1,20170729,20170827
11157,0,0,0,0,0,0,1,20170730,20170827
11164,1,1,1,1,1,0,0,20170502,20170730
11169,1,1,1,1,1,1,1,20170619,20170723
11168,1,1,1,1,1,1,1,20170828,20171022
11170,0,0,1,1,1,1,0,20170503,20170506
11165,1,1,1,1,1,0,0,20170502,20170730
11166,1,0,0,0,0,0,1,20170904,20170924
11148,1,1,1,1,1,1,1,20170605,20171105
11151,1,1,1,1,1,1,1,20170501,20170730
11150,1,1,1,1,1,1,1,20170501,20170521
11152,1,1,1,1,1,1,1,20170828,20171022
11153,1,1,1,1,1,1,1,20170501,20170521
11155,0,0,0,0,0,1,1,20170904,20171105
11156,1,0,0,0,0,0,0,20170731,20170828
11183,0,0,0,0,0,1,1,20170501,20170723
11184,0,0,0,0,0,1,1,20170904,20171105
11185,0,0,0,0,0,1,1,20170515,20170604
11186,0,0,0,0,0,0,1,20170501,20170723
11187,0,0,0,0,0,1,0,20170904,20171104
11179,0,0,0,0,0,1,1,20170904,20171105
11188,0,0,0,0,0,1,1,20170515,20170604
11182,1,1,1,1,1,0,0,20170904,20171103
10529,0,1,1,1,1,0,0,20170502,20170505
11072,1,1,1,1,1,1,1,20170729,20170827
11071,1,1,1,1,0,0,0,20170807,20170810
9829,1,1,1,1,1,0,0,20170515,20170604
11181,1,1,1,1,1,1,1,20170501,20170730
11180,1,1,1,1,1,0,0,20170904,20171103
10190,0,1,1,1,1,0,0,20170606,20170609
11173,1,1,1,1,1,1,1,20170529,20170702
11172,1,1,1,1,1,1,1,20170501,20170701
10220,1,1,1,1,1,0,0,20170612,20170616
11174,1,1,1,1,1,0,0,20170703,20170712
11176,1,1,1,1,1,1,1,20170828,20171105
11175,1,1,1,1,1,1,1,20170501,20170730
11178,1,1,1,1,1,1,1,20170529,20170702
11177,1,1,1,1,1,1,1,20171016,20171105
10234,1,1,1,1,1,0,0,20170529,20170602
11068,1,1,1,1,1,1,1,20170729,20170827
11069,1,1,1,1,1,0,0,20170807,20170811
11060,1,1,1,1,1,0,0,20170731,20170811
11061,1,1,1,1,1,1,1,20170814,20170827
11063,1,1,1,1,1,1,1,20170814,20170827
11066,0,1,1,1,1,1,0,20170801,20170812
11065,1,1,1,1,1,1,1,20170814,20170828
11080,0,0,0,0,0,1,1,20170904,20170917
10618,0,0,0,0,0,1,1,20170527,20170528
11086,0,0,0,0,0,1,1,20170904,20170917
10465,1,1,1,1,1,0,0,20170529,20170609
11085,0,0,0,0,0,0,1,20170904,20170917
11094,0,0,0,0,0,0,1,20170710,20170903
11101,1,1,1,1,1,1,0,20170502,20171104
11100,0,0,0,0,0,1,0,20170710,20170903
9777,1,1,1,1,1,0,0,20170502,20171103
11125,0,0,0,0,0,1,1,20170501,20170521
